type,route_id,route_name,record_index,time,x,y,z,pitch,yaw,roll
record,1784680671783,Route 1,0,2026-07-22T00:38:14.277421200+00:00,-124346.773,-337116.781,16550.102,337.206635,88.915642,0
record,1784680671783,Route 1,1,2026-07-22T00:38:24.739085400+00:00,-124346.773,-337116.781,16550.102,337.206635,88.915642,0
record,1784680671783,Route 1,2,2026-07-22T00:38:35.182120100+00:00,-124346.773,-337116.781,16550.102,337.206635,88.915642,0
record,1784680671783,Route 1,3,2026-07-22T00:38:45.647812200+00:00,-124346.773,-337116.781,16550.102,337.206635,88.915642,0
record,1784680671783,Route 1,4,2026-07-22T00:53:05.606025300+00:00,-119554.328,-360158.438,15224.017,0,-108.324356,0
record,1784680671783,Route 1,5,2026-07-22T00:53:16.152591600+00:00,-122411.016,-360357.594,15447.167,354.618561,84.469742,0
record,1784680671783,Route 1,6,2026-07-22T00:53:26.690002200+00:00,-123820.586,-353962.906,16067.441,348.286835,102.19796,0
record,1784680671783,Route 1,7,2026-07-22T00:53:37.146291800+00:00,-123820.586,-353962.906,16067.441,348.286835,102.19796,0
record,1784680671783,Route 1,8,2026-07-22T00:53:47.585861500+00:00,-123820.586,-353962.906,16067.441,348.286835,102.19796,0
record,1784680671783,Route 1,9,2026-07-22T00:53:58.043507400+00:00,-123820.586,-353962.906,16067.441,348.286835,102.19796,0
record,1784680671783,Route 1,10,2026-07-22T00:54:08.483367900+00:00,-123820.586,-353962.906,16067.441,348.286835,102.19796,0
record,1784680671783,Route 1,11,2026-07-22T00:54:18.932584300+00:00,-123820.586,-353962.906,16067.441,348.286835,102.19796,0
record,1784680671783,Route 1,12,2026-07-22T00:54:29.500602900+00:00,-140679.031,-312368.125,17366.91,0.633523,98.676147,0
record,1784680671783,Route 1,13,2026-07-22T00:54:39.940619900+00:00,-140679.031,-312368.125,17366.91,0.633523,98.676147,0
record,1784680671783,Route 1,14,2026-07-22T00:54:50.406958700+00:00,-140679.031,-312368.125,17366.91,0.633523,98.676147,0
record,1784680671783,Route 1,15,2026-07-22T00:55:00.979091800+00:00,-136342.719,-290410.656,21780.512,2.849541,65.667076,0
record,1784680671783,Route 1,16,2026-07-22T00:56:50.533941300+00:00,-127163.492,-269015.625,26116.963,359.367188,113.543213,0
record,1784680671783,Route 1,17,2026-07-22T00:57:00.989005200+00:00,-127163.492,-269015.625,26116.963,359.367188,113.543213,0
record,1784680671783,Route 1,18,2026-07-22T00:57:11.539232+00:00,111584.891,-325604.312,21674.266,339.343445,108.937935,0.055107
record,1784680671783,Route 1,19,2026-07-22T00:57:21.979211800+00:00,111584.891,-325604.312,21674.266,339.343445,108.937935,0.055107
record,1784680671783,Route 1,20,2026-07-22T00:57:32.423498500+00:00,111584.891,-325604.312,21674.266,339.343445,108.937935,0.055107
record,1784680671783,Route 1,21,2026-07-22T00:57:42.915286900+00:00,111584.891,-325604.312,21674.266,339.343445,108.937935,0.055107
record,1784680671783,Route 1,22,2026-07-22T21:25:48.091638700+00:00,149674.672,-47025.938,34165.863,355.951538,82.407959,0
record,1784681913914,Route 2,0,2026-07-22T00:59:25.022907200+00:00,86901.297,-334987.219,21031.922,345.362091,253.605835,0
record,1784681913914,Route 2,1,2026-07-22T00:59:35.596335200+00:00,84876.719,-342107.281,20041.143,341.563324,218.616623,0
record,1784681913914,Route 2,2,2026-07-22T00:59:46.141494500+00:00,78220.047,-345934.031,19244.961,342.354584,264.939911,0
record,1784681913914,Route 2,3,2026-07-22T00:59:56.581285600+00:00,78220.047,-345934.031,19244.961,342.354584,264.939911,0
record,1784681913914,Route 2,4,2026-07-22T01:00:07.030930700+00:00,78220.047,-345934.031,19244.961,342.354584,264.939911,0
record,1784681913914,Route 2,5,2026-07-22T01:00:17.472476400+00:00,78220.047,-345934.031,19244.961,342.354584,264.939911,0
record,1784681913914,Route 2,6,2026-07-22T20:44:15.338477800+00:00,147667.672,-47133.805,34840.977,337.130615,281.331665,0
